Landmark,RL,AP,SI
T9L~,-41.9820698331,-48.9462111883,230.702170889
T9R~,6.96942079764,-60.903962059,211.942738594
T10L~,-43.9701762214,-46.4036698228,215.590878989
T10R~,-1.34742609954,-53.5258683291,188.358324472
T11L~,-53.7393597857,-45.9556918718,189.522839605
T11R~,-9.23468838756,-41.7586882922,168.956091238
T12L~,-59.7452168002,-40.2491094125,149.199802993
T12R~,-23.1691354345,-38.7171421814,143.690830073
L1L~,-77.985886913,-33.0280522659,119.405017868
L1R~,-11.8739008664,-22.7086056741,117.14545539
L2L~,-79.465792762,-22.3339554644,85.6603613506
L2R~,-10.4676516428,-19.7993356165,87.3539198968
L3L~,-83.6536465181,-16.5112678426,49.0066538115
L3R~,1.1514340044,-16.4378305738,55.6992905576
TrXFiducials022+,,,
T1L+,-35.7884,-7.05745,28.5464
T1R+,24.4998,-4.25265,33.9039
T2L+,-34.3983,-15.3608,5.6671
T2R+,25.8899,-12.556,11.0246
T3L+,-33.0082,-23.66415,-17.2122
T3R+,27.28,-20.85935,-11.8547
T4L+,-33.0116366008,-32.7426788062,-38.6335955328
T4R+,28.1705893456,-28.8474092072,-35.4945205158
T5L+,-31.5037402618,-41.6357713866,-61.2469405195
T5R+,29.5202223847,-37.5425851738,-57.9886031833
T6L+,-30.9072523787,-46.8589257935,-84.5198886659
T6R+,33.076354591,-46.3247840403,-82.6103144495
T7L+,-27.4564392218,-56.1584860156,-108.561091747
T7R+,36.6589551498,-54.0092137052,-107.08322542
T8L+,-28.8261566846,-66.2386406378,-136.094388056
T8R+,35.2381497742,-62.3349729141,-136.200563699
T9L+,-31.4447384203,-69.7603690994,-164.587944876
T9R+,31.5372646292,-66.7919593147,-168.177620498
T10L+,-32.3323893113,-70.3790266996,-191.145950571
T10R+,26.9018508048,-64.6644198234,-194.183352758
T11L+,-32.4233270473,-64.8659067632,-223.185971717
T11R+,22.4673505207,-60.4586208985,-226.437979901
T12L+,-31.9623289667,-54.8024257892,-255.202075606
T12R+,12.7527978386,-46.8822068637,-259.279238826
L1L+,-39.6455816301,-40.290329154,-284.032826814
L1R+,14.9702006988,-32.6565567599,-288.838154066
L2L+,-47.5874330902,-32.0268650097,-311.822901621
L2R+,13.651219457,-21.9629283162,-314.139594658
L3L+,-59.9105161362,-26.0369628369,-345.395247894
L3R+,21.5346852883,-14.2859200822,-349.925592879
L4L+,-60.08835,-18.93105,-378.6885
L4R+,18.44365,-8.08525,-382.2605
L5L+,-62.1916,-12.1821,-412.225
L5R+,16.3404,-1.3363,-415.797
TrXFiducials024+,,,
T1L+,-43.2267,-45.1307,14.3958
T1R+,6.979,-41.4324,21.5943
T2L+,-39.0944,-52.46945,-3.9821
T2R+,11.1113,-48.77115,3.2164
T3L+,-35.1092788308,-59.7403207873,-20.7135834922
T3R+,14.5012507275,-56.7664380352,-14.7247176033
T4L+,-30.3739060453,-66.5681257354,-38.7228524397
T4R+,16.8219107863,-64.751708369,-36.0936660057
T5L+,-30.5042728694,-72.5210479743,-57.3277450579
T5R+,21.0714511859,-69.9130856715,-55.0410260187
T6L+,-29.0771430972,-78.6070650831,-76.4572889824
T6R+,22.3300161211,-76.7376449429,-76.9215802086
T7L+,-27.8845005505,-79.8071142289,-101.089258804
T7R+,19.4621147338,-80.3652742885,-104.371725214
T8L+,-29.2635078297,-79.7298103245,-124.260483295
T8R+,19.6167655742,-77.8678495771,-130.546218159
T9L+,-33.1610312829,-75.849150073,-149.95179703
T9R+,14.3755450126,-73.3891582453,-154.284721011
T10L+,-33.428803947,-71.9397779554,-172.891756157
T10R+,12.3647771523,-70.6713076831,-174.340263696
T11L+,-31.2720499413,-64.3887301199,-192.530089796
T11R+,6.73021730986,-64.9728358834,-197.09578153
T12L+,-29.9123550049,-54.0570030322,-220.225511574
T12R+,1.65383965835,-54.4895794167,-225.146398682
L1L+,-42.8820386853,-46.0957683807,-243.339179756
L1R+,9.21236964833,-39.9205287397,-249.054600943
L2L+,-50.0698967477,-39.718568244,-268.374280035
L2R+,9.61689891196,-32.2768818035,-276.731826804
L3L+,-52.47886,-31.87415,-291.9925
L3R+,8.03224,-24.66285,-300.5035
L4L+,-54.96792,-24.5003,-316.242
L4R+,5.54318,-17.289,-324.753
L5L+,-57.45698,-17.12645,-340.4915
L5R+,3.05412,-9.91515,-349.0025
TrXFiducials027+,,,
T1L+,-19.9477262148,64.1827434187,77.1039304744
T1R+,41.4434386765,41.244638246,76.1576804586
T2L+,-22.4718556938,51.4722540208,63.6083846868
T2R+,34.6361901393,29.8256584497,63.4977904357
T3L+,-27.3250115856,42.4135687127,47.3628253172
T3R+,29.9799569161,20.0750317188,43.3834472214
T4L+,-31.3755053749,32.6953488657,31.980465918
T4R+,23.4802720545,10.8340889169,28.2820960081
T5L+,-35.74058923,23.8989223027,16.5088726244
T5R+,16.2821613364,3.29506840496,8.79936773238
T6L+,-41.721911786,17.3471498896,-0.204277324856
T6R+,7.31781214025,-4.13035548968,-9.07672687257
T7L+,-47.420132082,13.9304950611,-15.4379928304
T7R+,1.57642799619,-9.70420555884,-29.3283922725
T8L+,-54.7656732465,5.84547293715,-32.1383098594
T8R+,-6.38464235691,-16.3340759843,-47.2786310493
T9L+,-64.7775035767,1.59729957918,-49.3137314641
T9R+,-19.694472228,-17.759737698,-64.9977673539
T10L+,-70.8408284288,-1.69564705969,-68.2827655853
T10R+,-31.3683594592,-21.4867297489,-84.066607357
T11L+,-76.7799820097,-4.3416651041,-87.0796506803
T11R+,-38.7326258042,-21.5876951384,-100.564090191
T12L+,-87.0258722277,-3.18272944742,-113.629178597
T12R+,-52.6429363613,-21.1968783547,-123.861744054
L1L+,-101.807528971,-7.28851289274,-137.090646429
L1R+,-50.2711426757,-21.1224595838,-152.664134306
L2L+,-110.681507849,-7.79312755275,-161.974952121
L2R+,-53.9685931942,-22.5084343224,-175.681142914
L3L+,-121.812382475,-7.73328532067,-196.5411134
L3R+,-50.6481206376,-24.3999957087,-201.115039496
L4L+,-121.351528491,-3.22862329934,-226.423340056
L4R+,-52.7473585372,-11.3325171573,-225.727637917
L5L+,-122.723393583,3.64105220135,-260.757501011
L5R+,-47.3051436842,-6.25817338389,-253.970167895
TrXFiducials028+,,,
T1L+,-56.87972,-52.7639,396.653
T1R+,4.55642,-53.2383,399.02
T2L+,-56.50186,-55.3488,374.9605
T2R+,4.93428,-55.8232,377.3275
T3L+,-56.335282889,-58.3253337944,352.794141767
T3R+,6.96712972255,-58.6923537972,355.899317223
T4L+,-53.7784158144,-60.8899133195,327.250310413
T4R+,4.85848111093,-61.864454775,337.66153006
T5L+,-50.4554061284,-59.6202828496,300.443942666
T5R+,6.65888005361,-65.0307591318,313.683700289
T6L+,-44.6810060547,-54.2050135847,275.925691838
T6R+,12.959076613,-67.1040219524,288.597848297
T7L+,-40.7970167573,-52.5221052994,254.631049044
T7R+,21.0558808435,-68.1578363079,261.162470724
T8L+,-40.3402177492,-46.911118153,235.832249251
T8R+,26.8121239436,-69.884201684,236.175207147
T9L+,-37.663211539,-43.2463753616,215.406159394
T9R+,28.7840631702,-60.1877483277,208.662306958
T10L+,-33.2909149841,-48.4992454759,192.663964391
T10R+,19.2365553313,-62.3559732318,183.484849163
T11L+,-38.3979834148,-47.4699887083,165.593104785
T11R+,18.1150228381,-52.0989339125,155.657117573
T12L+,-35.1158242531,-48.927983327,131.17554951
T12R+,9.45555945932,-51.5668394189,125.662112425
L1L+,-52.5175928786,-49.6018729619,100.631038175
L1R+,29.3774699402,-48.1151211016,98.2122639056
L2L+,-52.7019599572,-54.4788509771,68.6569341705
L2R+,24.6517286325,-46.8649813411,62.4418358882
L3L+,-54.7770620121,-50.5660252583,25.72611898
L3R+,30.9351802009,-44.1044450615,20.6692624116
L4L+,-53.0558,-47.7964,-17.177
L4R+,33.7385,-41.1257,-21.6314
L5L+,-50.9018,-44.8434,-59.648
L5R+,35.8925,-38.1727,-64.1024
TrXFiducials015+,,,
T1L+,-16.77077,-27.46825,363.9665
T1R+,44.12493,-28.03345,375.6765
T2L+,-26.3948,-71.0184,364.63
T2R+,22.9543,-71.3624,359.692
T3L+,-27.6256,-68.4063,340.915
T3R+,21.7235,-68.7503,335.977
T4L+,-28.8564,-65.7942,317.2
T4R+,20.4927,-66.1382,312.262
T5L+,-30.0872,-63.1821,293.485
T5R+,19.2619,-63.5261,288.547
T6L+,-31.318,-60.57,269.77
T6R+,18.0311,-60.914,264.832
T7L+,-32.5488,-57.9579,246.055
T7R+,16.8003,-58.3019,241.117
T8L+,-34.2602631992,-54.8641897811,222.507190258
T8R+,15.2439643253,-55.9533374664,218.129450816
T9L+,-34.2155390127,-53.4951099511,202.548573841
T9R+,12.3542681522,-52.6336026921,189.63340285
T10L+,-36.8813424709,-51.9073776534,182.572042607
T10R+,6.12650286305,-43.9604668888,169.37012443
T11L+,-38.2046324809,-46.7031120496,156.548606463
T11R+,0.29651630124,-34.2446676928,145.084440821
T12L+,-41.228539927,-44.6115472383,129.350284256
T12R+,-5.01659172178,-30.05191456,123.504054578
L1L+,-53.4459030468,-44.1940720889,100.095965036
L1R+,-3.82282370755,-15.7930077584,98.30091098
L2L+,-54.843335754,-36.9505422338,64.2457777471
L2R+,1.9905734549,-12.8318207555,75.8209439277
L3L+,-52.48169,-32.91065,40.9796
L3R+,4.08285,-8.03095,51.0062
