Landmark,RL,AP,SI
T11L*@#,-0.0952173,0.0245962,-0.124258
T11R*@#,0.125542,0.000543945,-0.158704
T12L*@#,-0.0720267,0.0141794,-0.250949
T12R*@#,0.0946759,0.00336863,-0.27389
L1L*@#,-0.145525,0.0149056,-0.364481
L1R*@#,0.165537,0.0216698,-0.374012
L2L*@#,-0.149163,-0.0016723,-0.492861
L2R*@#,0.151748,0.0268941,-0.512457
L3L*@#,-0.15693,0.0111441,-0.657048
L3R*@#,0.176042,0.0367351,-0.674135
L4L*@#,-0.148666,0.0224728,-0.81998
L4R*@#,0.184305,0.0480638,-0.837067
L5L*@#,-0.140403,0.0338015,-0.982913
L5R*@#,0.192569,0.0593925,-1.0
Max angle:,5.87947851378,TrXFiducials029#,
T1L*@#,-0.111049,-0.0454547,0.864756
T1R*@#,0.221703,-0.0209233,0.858433
T2L*@#,-0.111591,-0.0738106,0.76592
T2R*@#,0.221161,-0.0492785,0.759597
T3L*@#,-0.0963217,-0.0960012,0.649323
T3R*@#,0.204808,-0.0837989,0.678516
T4L*@#,-0.0741374,-0.103117,0.530268
T4R*@#,0.214889,-0.118303,0.566014
T5L*@#,-0.0715648,-0.0821468,0.429896
T5R*@#,0.231045,-0.133417,0.450368
T6L*@#,-0.0461418,-0.0777202,0.343614
T6R*@#,0.247391,-0.15043,0.335515
T7L*@#,-0.0479785,-0.0542247,0.247134
T7R*@#,0.242583,-0.142885,0.20281
T8L*@#,-0.0435563,-0.0366553,0.166805
T8R*@#,0.231402,-0.116336,0.0727618
T9L*@#,-0.0696567,-0.0174784,0.0912205
T9R*@#,0.192188,-0.0708773,-0.0513712
T10L*@#,-0.0977596,-0.0150819,-0.00119623
T10R*@#,0.120747,-0.0236209,-0.159756
T11L*@#,-0.12681,-0.0139075,-0.12183
T11R*@#,0.0755389,0.0288363,-0.231267
T12L*@#,-0.197308,0.013268,-0.271507
T12R*@#,-0.0028039,0.0603758,-0.329351
L1L*@#,-0.266984,0.0312452,-0.396124
L1R*@#,-0.0102414,0.121707,-0.424621
L2L*@#,-0.302132,0.050641,-0.542671
L2R*@#,0.00367086,0.17511,-0.529907
